Position,Company,Location,Details
Software Developer,BuzzartSoftware,"Bhopal, Madhya Pradesh, India","Posted by
Buzzart Software 2nd
Administrator at BuzzartSoftware
Send InMail
The ideal candidate will be responsible for developing high-quality applications. They will also be responsible for designing and implementing testable and scalable code.
Responsibilities
Develop quality software and web applications
Analyze and maintain existing software applications
Design highly scalable, testable code
Discover and fix programming bugs

Qualifications
Bachelor's degree or equivalent experience in Computer Science or related field
Development experience with programming languages
SQL database or relational database skills"
Mendix Developer,Technotree Consulting LLP,India,"Posted by
Poonam T
Automation Testers | Data QA | Guidewire Testing | Performance Tester | Functional Testers
Send InMail
The ideal candidate will be responsible for developing high-quality applications. They will also be responsible for designing and implementing testable and scalable code.
Responsibilities
Develop quality software and web applications
Analyze and maintain existing software applications
Design highly scalable, testable code
Discover and fix programming bugs

Qualifications
Bachelor's degree or equivalent experience in Computer Science or related field
Development experience with programming languages
SQL database or relational database skills"
Software Engineer,Formics.io,"Rajkot, Gujarat, India","Posted by
Satyajeet Sondarva
Chief Operating Officer at Formics.io
Send InMail
We are hiring for the below positions.

1. Nodejs developer - 3 openings
2. Flutter developer - 3 openings
3. Angular developer - 3 openings

Experience: fresher to 2 years experience.

Why you should join us:-

- flexible working,
- work from home available,
- paid leaves,
- referral bonus,
- snacks on house,
- performance bonuses, and much more.

Share your resume on hr@formics.io

#nodejs #nodejsjobs #angularjobs #flutterjobs #hrjobs
Responsibilities
Develop high-quality software and web applications
Analyze and maintain existing software applications
Design highly scalable, testable code
Discover and fix programming bugs
Tested code

Qualifications
Bachelor's degree or equivalent experience in Computer Science or related field.
Relevant development experience with programming languages.
Experience working with SQL and MongoDB database skills."
UiPath Developer,TRIUNFO CONSULTING AND DIGITAL TRANSFORMATION PRIVATE LIMITED,India,"Posted by
Triunfo Consultancy 2nd
Staffing & Recruiting - Automation , RPA , Consultancy , Finance , BPO & BPM
Send InMail
Responsibilities
-Design, code, test automation workflows using UiPath
-Verifying and leveraging appropriate UiPath components: Robots, Studio, Orchestrator
-Provide solution design's to customers throughout the deployment of new deals, during POCs and project implementation phase.
-Make changes to the robot code during implementation as needed
-Develop workflows and custom activities using Vb .Net/C#
-Responsible for the overall testing cycles
-Deliver technical training, demos, blueprints and provide necessary support for new/existing clients.

Qualifications
-Graduate in Computer Science/IT or equivalent Degree
-3+ years of experience in IT industry with code development background
-Strong technical skills on UiPath, and end to end UiPath offerings
-Minimum of 1.5 years of experience in developing, implementing automation workflows in UiPath.
-Understanding of workflow-based logic and hands on experience with RE-framework.
-UiPath Advanced Developer Certification is a must.
-Excellent communication skill is a must
-Basic programming/Scripting knowledge on VBA/VB/java/C# script is must (or any scripting language, python is a plus)
-Knowledge in cognitive automation with OCR tools, AI/ML skills is a plus.
-Excellent software development background with any of the following (C#, C++, Java, .NET) is a plus"
Software Analyst Programmer,Unikaihatsu Software Pvt. Ltd.,"Ahmedabad, Gujarat, India","Knows following computer languages proficiently:
Flutter,PHP, Android, iOS

Job Role:
1. Strategically plan, manage, monitor project requirements and give timely, efficient, robust and maintainable quality-oriented results in deliveries and implementation.
2. Ensuring of standard routines are followed, offering preventive and post incidence support.
3. Manage routine functions like reviews, trainings, status reporting, etc and its activity logs
4. Receive, process, and ensure confidentiality of sensitive information and materials
5. Assist in maintaining access rights, documents, activity logs of Project VSS.
6. Analyse documents released related to TDG project like PEP, current policies procedures provided to team members.
7. To co-ordination with internal groups for the project.
8. Assist in code reviews, analysis of design changes and impacts, during delivery and implementation."
Software Engineer,TIGI HR Solution Pvt. Ltd.®,"Noida, Uttar Pradesh, India","Posted by
HR Raj Sampat
Recruitment Specialist at TIGI HR Solution Pvt. Ltd.® | If people are doubting how far you can go, go so far that you can’t hear them anymore.🌟
Send InMail
Roles & Responsibilities:-
· Executing full lifecycle software development
· Programming well-designed, testable, efficient code
· Producing specifications and determine operational feasibility
· Develop flowcharts, layouts and documentation to identify requirements and solutions
· Write well-designed, testable code
· Produce specifications and determine operational feasibility
· Integrate software components into a fully functional software system
· Develop software verification plans and quality assurance procedures
· Document and maintain software functionality
· Troubleshoot, debug and upgrade existing systems
· Deploy programs and evaluate user feedback
· Comply with project plans and industry standards
· Ensure software is updated with latest features
Mandatory Requirement:
1: LINUX - Mandatory (Minimum 3 years)
2: Either of php, shell script or python (Any one of them mandatory )"
Software Engineer,SourceSage,India,"Posted by
Jian Min Sim
Ecommerce| Procurement| Fintech
Send InMail
Responsibilities/ Requirement:

- Implement beautiful responsive layouts using React, TypeScript, CSS and HTML
- State Management like Redux is a plus
- Proficiency in Antd Design UI is a plus
- Build high-quality components
- Develop documentation and design materials if needed
- Write high-quality, efficient, testable code
- Working with version control systems such as GIT
- Working under tight deadlines
- Collaborate directly with product management, and the development team on new product features
-Develop mobile applications using Reactnative or Flutter
-Minimum 3-5 years of proven experience as a software engineer or tech lead skilled in React is a must

Tech Stack:
-Python (flask)
- react, angular
- mysql
- git
- circleci, github actions
- aws: ec2, rds, s3, lambda and more"
Software Developer,ZERCORP,"Chennai, Tamil Nadu, India","Posted by
Zercorp Software Private Limited
software Company
Send InMail
>Skills: C++, VB .Net, Python, CAD, Geometry related libraries, GitHub, Visual Studio, Cmake
>Sound knowledge of engineering design principles
>Work with developers to design algorithms and flowcharts
>Produce clean, efficient code based on specifications
>Integrate software components and third-party programs
>Verify and deploy programs and systems
>Troubleshoot, debug and upgrade existing software
>Transcode existing code from Python to C++ is needed.
>Gather and evaluate user feedback
>Recommend and execute improvements
>Create technical documentation for reference and reporting
>Experience - 1 - 4 years"
Software Engineer,https://www.flairminds.com/,Pune/Pimpri-Chinchwad Area,"Posted by
Hasmukh Parekh 2nd
Trusted global partner and growth advisor for young tech venture; IIT kanpur alumnus
Send InMail
The ideal candidate will be responsible for developing high-quality applications. They will also be responsible for designing and implementing testable and scalable code.
Responsibilities
Develop quality software and web applications
Analyze and maintain existing software applications
Design highly scalable, testable code
Discover and fix programming bugs

Qualifications
Bachelor's degree or equivalent experience in Computer Science or related field
Development experience with programming languages in Microsoft .net framework and SQL database or relational database skills"
Software Engineer,Webmaster,"Lucknow, Uttar Pradesh, India","Posted by
Sakshi Verma
HR intern at Rabbani ITI
Send InMail
Job Description


Qalification: Graduate/PG
Background: Computer Science/IT Preferred
Experience: Freshers are also eligible

Skills: Knowledge of HTML,CSS, Blockly
Programming Language Skillset (HTML, CSS, Js, React Native, Python) preferred

Location: PAN India
Notice Period: Immediate Joiner

Interview Mode: Virtual
Shift: As per the School Timing
Salary: Upto 3L INR"
Software Engineer (Equity),Quayo Technologies Pvt. Ltd.,"Delhi, India","Posted by
Quayo Technologies 2nd
Founder at Quayo Technologies
Send InMail
Position: Co-founder (Software Engineer)
Developer (Front End, Back End & Mobile) -3
Server Administrator -1
Experience: 3 - 12 years

Education: B.E/B.Tech/MS/M.E/M.Tech
Location: Delhi NCR, India

The person should be able to come on board at the earliest possible and help build the product. Please note that this will be an equity-based role only till Development phase as the venture shall be bootstrapped, to begin with.

Not looking for a person seeking a corporate setup, high salary or with quick windfall expectations.

Roles and Responsibilities:

A Software Engineer (co-founder) who can work alongside from early-stage including Product development, Minimum Viable Product (MVP) and Growth.
Analyze and maintain existing software applications which includes Design highly scalable, testable code. Discover and fix programming bugs
Drive innovation in full-stack product development, while relentlessly improving performance and scalability.
Envision and develop the long-term architectural direction, with emphasis on platforms/Product reusable components while adopting a nimble delivery process.
Coming up with best practices to help the team achieve their technical tasks and continually thrive in improving the technology of the organization.
Experiment with new relevant technologies and tools, decide future tech stacks and drive their adoption to build scalable systems.

Experience:

Prior experience as a founder or early-stage member in a technology start-up will be preferred.
Minimum 2 years of experience in Server-Side Programming with some exposure to mobile (android) and web application development.
Good knowledge of Data Structure, Algorithms and Database Management System.
Experience in architecting & building real-time, large scale applications.
Exposure to cloud technology environment of AWS, GCP.

Personality Traits:

Is a mature & energetic person who is passionate about technology and building solutions to solve problems.
Is currently a point in life where s/he wants to try out something new & can necessarily invest time into it without worrying too much about instant wealth gratification.
Is a good communicator and up for planning and discussions with the co-founders on a daily basis.
Is a leader who can build and manage our tech teams in the near future.

Future discussions will need Non disclosure agreements to be signed along with non competing agreement.

Send your profile on hi@quayotechnologies.com

#softwaredevelopment #applicationdevelopment #developer #fullstack #serveradministrator"
Senior Data Scientist,Neorays Software Solutions,India,"Posted by
FARHA RAHMAN
Hr recruiter
Send InMail
data scientist requirement, urgently needed for a leading car technology international company with 6-9 yrs relevant experience.
please note it's a direct and permanent position .

skills required----

statistical models on regression,factor analysis,cluster analysis, Ancova etc.
good code writing in R, Python, SQL
good knowledge and work experience on Artificial Intelligence and Machine Learning
good experience in charting and reporting.

Educational qualification required---
MBA, Statistic, Mathematics, Operations Research, Quantitative Analysis or related.

Professional Experience Required---
6-10 yrs experience in Analytics preferred.
experience in working with IRI / Nielsen Data
good knowledge on FMCG/ CPG."
Data Scientist,Pocket FM,India,"About Pocket FM
It’s an amazing time to join Pocket FM as we continue shaping the future of audio entertainment both in India and globally. We are India's leading audio OTT platform with the largest collection of OTT shows, podcasts, and audiobooks across a wide variety of genres and languages.

We are reimagining the traditional radio to build an internet-scale platform to bring together communities to share stories and spread knowledge. Our mission is to give voice to Indian stories and wisdom. Pocket FM has grown to 40 Million + users in a short span of 3 years. We are backed by some of the most prominent VCs in India and are the market leader in the audio space.

We are looking for a Data Scientist with experience working in a product development team, testing new product concepts with users at scale, thinking creatively about experimentation, and using statistical modeling to generate insights from large-scale datasets.

What You'll Do:
• Gain a deep understanding of how products and platforms influence user behavior by extracting insights from rich datasets to drive Retention, Engagement.
• Identify the most impactful opportunities for product development based on user needs, and execute on them diligently and resourcefully, sequencing hypotheses to ladder up to broader business goals.
• Partner closely with the other data scientists and data engineers to help inform, build and test hypotheses to deliver actionable insights to fuel our products leveraging your skills in experimentation & statistical modeling.
• Define the metrics we use to measure the health of initiatives and track them through dashboards.
• Work closely with cross-functional teams of data scientists, researchers, product owners, engineers, designers, marketers, and others across the company who are passionate about our marketplace.
• Be an advocate for data-informed decision-making, making recommendations about the product performance and product experience available to the Marketplace organization

Who You Are:
• 3+ years of experience applying experimentation methods & advanced statistical modeling to drive product development.
• Experience with product analytics, including crafting success metrics, running power analyses, determining statistical significance, and presenting findings with clear product recommendations or implications.
• You are capable of tackling loosely defined problems and translating complex thinking into practical application for diverse audiences.
• You have strong communication skills and value building relationships with colleagues and partners as well as the ability to explain sophisticated topics in straightforward terms.
• You’re a compelling storyteller who can communicate in succinct and inspiring ways to audiences with varied data science experience to influence real world product or feature decisions.
• Proficiency in Python and SQL. Ideally, you are also skilled at performing analysis on large datasets.
• Comfortable working with distributed teams across multiple offices and timezones."
Software Developer (Technical Analyst),EvalGround,"Bangalore Urban, Karnataka, India","Posted by
Harshiya T. 2nd
Senior Human Resources Generalist at EvalGround
Send InMail
Greetings from Evalground Software Private Limited Bangalore

Job Summary

Designation : Software Development Engineer

Exp : 0-1Year
Compensation : 4LPA-5LPA
Job Location : Bangalore (Work from home ,Due to COVID 19- Remote)

Job type : Full-time

Notice Period : Immediately.

Please find the test link and rest of the details below.

1st round -ONLINE TEST LINK ( Kindly take up the online test as soon as you can)

https://evalground.com/code4/#/publicview/test/candidate/token/omiwrgjz

Duration 1 hour 35 minutes

JOB Description:

Key Skills:
1. We are looking to hiring bright UG/ PG candidates with CS, IT/IS background, for the Software developer role
2. Bright engineers with good analytical skills who are fast-learners.
3. Engineers who consider learning new technologies, code bases and building cool features in a rapid time-frame as fun.
4. The candidate should possess exceptional problem solving and analytical skills.
5. The candidate should have a strong understanding of computer science basics, algorithms and coding best practices.
6. Technologies preferred C, C++, Java

Evalground Software Private Limited (https://www.evalground.com)
Evalground Software formally incorporated in April-2021. An extremely work-friendly environment and a great platform to learn and excel one's skills. Evalground Software is a team of smart engineers with the vision of providing core development expertise to software product companies, mostly in the Enterprise space. The team comprises of (>60) seasoned developers who have previously worked in companies such as Microsoft and Trilogy, and talented intellects from the top colleges like IITs and NITs.

Evalground is focused on building top-class development teams for our current client base that consists of multiple Enterprise Software product companies in varying domains and technologies (including Java and . Net-based technologies).
Harshiya Taj M
Human Resource | Evalground Software Pvt Ltd
mobile: +91-7349531336
email: harshiya.taj@evalground.com
website: evalground.com"
Data Scientist 1,Mastercard,"Gurgaon, Haryana, India","Our Purpose

We work to connect and power an inclusive, digital economy that benefits everyone, everywhere by making transactions safe, simple, smart and accessible. Using secure data and networks, partnerships and passion, our innovations and solutions help individuals, financial institutions, governments and businesses realize their greatest potential. Our decency quotient, or DQ, drives our culture and everything we do inside and outside of our company. We cultivate a culture of inclusion for all employees that respects their individual strengths, views, and experiences. We believe that our differences enable us to be a better team – one that makes better decisions, drives innovation and delivers better business results.

Job Title

Data Scientist 1

We are the global technology company behind the world’s fastest payments processing network. We are a vehicle for commerce, a connection to financial systems for the previously excluded, a technology innovation lab, and the home of Priceless®. We ensure every employee has the opportunity to be a part of something bigger and to change lives. We believe as our company grows, so should you. We believe in connecting everyone to endless, priceless possibilities.

The Mastercard Launch program is aimed at early career talent, to help you develop skills and gain cross-functional work experience. Over a period of 18 months, Launch participants will be assigned to a business unit, learn and develop skills, and gain valuable on the job experience.

Mastercard has over 2 billion payment cards issued by 25,000+ banks across 190+ countries and territories, amassing over 10 petabytes of data. Millions of transactions are flowing to Mastercard in real-time providing an ideal environment to apply and leverage AI at scale. The AI team is responsible for building and deploying innovative AI solutions for all divisions within Mastercard securing a competitive advantage. Our objectives include achieving operational efficiency, improving customer experience, and ensuring robust value propositions of our core products (Credit, Debit, Prepaid) and services (recommendation engine, anti-money laundering, fraud risk management, cybersecurity)

Role
Gather relevant information to define the business problem
Creative thinker capable of linking AI methodologies to identified business challenges
Develop AI/ML applications leveraging the latest industry and academic advancements
Ability to work cross-functionally, and across borders drawing on a broader team of colleagues to effectively execute the AI agenda

All About You

:
Demonstrated passion for AI competing in sponsored challenges such as Kaggle
Previous experience with or exposure to:
Deep Learning algorithm techniques, open source tools and technologies, statistical tools, and programming environments such as Python, R, and SQL
Big Data platforms such as Hadoop, Hive, Spark, GPU Clusters for deep learning
Classical Machine Learning Algorithms like Logistic Regression, Decision trees, Clustering (K-means,
Hierarchical and Self-organizing Maps), TSNE, PCA, Bayesian models, Time Series ARIMA/ARMA,
Recommender Systems - Collaborative Filtering, FPMC, FISM, Fossil
Deep Learning algorithm techniques like Random Forest, GBM, KNN, SVM, Bayesian, Text Mining techniques, Multilayer Perceptron, Neural Networks – Feedforward, CNN, LSTM’s GRU’s is a plus.
Optimization techniques – Activity regularization (L1 and L2), Adam, Adagrad, Adadelta concepts; Cost
Functions in Neural Nets – Contrastive Loss, Hinge Loss, Binary Cross entropy, Categorical Cross entropy; developed applications in KRR, NLP, Speech and Image processing
Deep Learning frameworks for Production Systems like Tensorflow, Keras (for RPD and neural net architecture evaluation), PyTorch and Xgboost, Caffe, and Theono is a plus
Concentration in Computer Science

COVID-19 Considerations

We value the safety of each member of our community because we know we’re all in this together. In many locations, which may change over time, we’ve implemented a virtual hiring process and continue to interview candidates by video or phone. In addition, in some locations, only individuals who have been fully vaccinated will be permitted inside Mastercard offices until further notice.

About Mastercard

Mastercard is an inclusive Equal Employment Opportunity employer that considers applicants without regard to gender, gender identity, sexual orientation, race, ethnicity, disabled or veteran status, or any other characteristic protected by law.

If you require accommodations or assistance to complete the online application process, please contact reasonable_accommodation@mastercard.com and identify the type of accommodation or assistance you are requesting. Do not include any medical or health information in this email. The Reasonable Accommodations team will respond to your email promptly.

Corporate Security Responsibility

Responsibilities

All activities involving access to Mastercard assets, information, and networks comes with an inherent risk to the organization and, therefore, it is expected that every person working for, or on behalf of, Mastercard is responsible for information security and must
Abide by Mastercard’s security policies and practices;
Ensure the confidentiality and integrity of the information being accessed;
Report any suspected information security violation or breach, and
Complete all periodic mandatory security trainings in accordance with Mastercard’s guidelines."
